Added to MB,Genre,Artist,Release Title,Link,Notes,,,,,,,,,,,,,,,,,,,,,,
,Experimental,Elvis Presley,The Elvis Presley Interview Record - An Audio Self-Portrait,,Different version here https://www.discogs.com/Elvis-Presley-The-Elvis-Presley-Interview-Record-An-Audio-Self-Portrait/master/1133911,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Count Basie & Joe Turner,"Flip, Flop & Fly",https://www.discogs.com/Joe-Turner-With-Count-Basie-And-His-Orchestra-Flip-Flop-And-Fly/release/5009972,"""uknown"" version in MB",,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Courtney Pine,Destiny's Song + The Image Of Pursuance,https://www.discogs.com/Courtney-Pine-Destinys-Song-The-Image-Of-Pursuance/release/4498805,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Courtney Pine,Journey To The Urge Within ,https://www.discogs.com/Courtney-Pine-Journey-To-The-Urge-Within/release/809298,CD entry in MB (with 2 additional songs),,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Curlew,Live In Berlin,https://www.discogs.com/Curlew-Live-In-Berlin/release/907968,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dave Brubeck Quartet,The Great Concerts,https://www.discogs.com/Dave-Brubeck-Quartet-The-Great-Concerts/release/2522258,C 44217 on vinyl doesn't exist in MB but barcode exact match. ,,,,,,,,,,,,,,,,,,,,,,
,Jazz,David Oliver,Marishka,,No entry in MB or Discogs,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,David Torn,Cloud About Mercury,https://www.discogs.com/David-Torn-Cloud-About-Mercury/release/2426612,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,David Van Tieghem,Safety In Numbers,https://www.discogs.com/David-Van-Tieghem-Safety-In-Numbers/release/436699,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,David Van Tieghem,These Things Happen,https://www.discogs.com/David-Van-Tieghem-These-Things-Happen/release/1064940,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dexter Gordon ,Go!,https://www.discogs.com/Dexter-Gordon-Go/release/4515555,identical entry in musicbrainz - except for different catalog number ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dexter Gordon ,One Flight Up,https://www.discogs.com/Dexter-Gordon-One-Flight-Up/release/6371068,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dexter Gordon ,The Other Side of Round Midnight ,https://www.discogs.com/Dexter-Gordon-The-Other-Side-Of-Round-Midnight/release/1184006,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dinah Washington,The Fats Waller Songbook,https://www.discogs.com/Dinah-Washington-The-Fats-Waller-Songbook/release/5193848,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dizzy Gillespie ,20 Golden Pieces of DIzzy Gillespie ,https://www.discogs.com/Dizzy-Gillespie-20-Golden-Pieces-Of-Dizzy-Gillespie/release/4513913,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Dizzy Gillespie ,Endlessly ,https://www.discogs.com/Dizzy-Gillespie-Endlessly/release/3613995,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Django Reinhardt ,Django 2 - Solos/Duets/Trios,https://www.discogs.com/Django-Reinhardt-SolosDuetsTrios-Volume-2/release/1345126,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Doctor Nerve,Armed Observation,https://www.discogs.com/Doctor-Nerve-Armed-Observation/release/1947935,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Don Cherry,Art Deco,https://www.discogs.com/Don-Cherry-Art-Deco/release/3351473,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Donald Byrd,Byrd In Hand,https://www.discogs.com/Donald-Byrd-Byrd-In-Hand/release/6534447,multiple entry in MB ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Donald Byrd,First Flight,https://www.discogs.com/Donald-Byrd-First-Flight/release/4045844,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Duck Baker,When You Wore A Tulip,https://www.discogs.com/Duck-Baker-When-You-Wore-A-Tulip/release/3164762,,,,,,,,,,,,,,,,,,,,,,,
